name,sold,price,date
HP OMEN 15-EK0044TX i7-10750H 16GB 1TB RTX2060 6GB 144Hz Win10+OHS,39,24.499.000,2021-01-14
HP OMEN 15-DH0180TX - i7-9750H 16GB 512GB 1TB RTX2060 6GB WIN10 OHS,14,23.895.000,2021-01-14
HP Envy X360 13 AMD RYZEN 7 4700U 8GB 512GB W10 13.3FHD,210,15.099.000,2021-01-14
HP Envy X360 13-AG0023AU Ryzen 7 SSD 512GB Win 10,24,15.399.000,2021-01-14
HP Envy X360 Convertible Ryzen 7 SSD 512GB,14,8.750.000,2021-01-14
HP Envy x360 13 Ryzen 7 4700U 16GB 512ssd Vega 10 W10 13.3FHD AY0006AU,48,18.499.000,2021-01-14
"HP Envy x360 13 ar0108au Ryzen 7 3700u 16GB 512 SSD 13"" FHD TOUCH WIN",28,15.699.000,2021-01-14
HP Envy x360 13 ay0006AU 2in1 Touch Ryzen 7 4700 16GB 512ssd Vega7 W10,3,18.499.000,2021-01-14
HP Envy x360 13-ay0005AU Ryzen 5 4500 8GB 512GB-SSD Vega-8 WIN10,2,17.499.000,2021-01-14
"HP Envy x360 15 Ryzen 5-4500U 16GB 512GB Radeon Vega 8 Win10 15,6 FHD",94,13.899.000,2021-01-14
HP Pavilion 14 - dv0065TX dv0066TX i5 1135G7 8GB 512ssd MX450 2GB OHS,42,11.999.000,2021-01-14
"HP Envy x360 15 Ryzen 5-4500U 8GB 256GB Radeon Vega 8 Win10 15,6 FHD",168,11.899.000,2021-01-14
HP GAMING PAVILION 15-EC1076AX - RYZEN 7-4800H - 16GB - 512SSD - GTX1660Ti 6GB - WIN10 - OFFICE,5,16.399.000,2021-01-14
HP Gaming Pavilion 15-dk1064TX i5-103000H 8GB 512GB SSD RTX2060 Win 10+OHS,204,15.699.000,2021-01-14
HP OMEN 15 144hz - AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB Win10,137,17.849.000,2021-01-14
HP OMEN 15 144hz AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB W10,485,17.849.000,2021-01-14
HP OMEN 15 144hz AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB W10 -Blac,27,17.899.000,2021-01-14
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 1TB SSD - Mica Silver,16,18.699.000,2021-01-14
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 512GB SSD - Mica Silver,97,18.049.000,2021-01-14
HP OMEN 15 en0045ax | Ryzen 5 4600H 16GB 512SSD GTX1660Ti 6GB 144hz,140,17.799.000,2021-01-14
"HP Envy x360 15 Ryzen 7-4700U 16GB 512GB AMD Radeon Win10 15,6 FHD",68,15.999.000,2021-01-14
HP Envy 15 X360 Touch | Ryzen 7 4700 8GB 512ssd Vega7 W10 15.6FHD,10,14.799.000,2021-01-14
HP Pavilion 14 X360 Touch i5 10210 8GB 256ssd W10 14.0FHD,14,10.199.000,2021-01-14
HP Pavilion 14 X360 Touch i5 1035G1 8GB 512ssd W10 14.0FHD,6,11.500.000,2021-01-14
Hp Envy X360 13 Ryzen 5 4500U 8GB 512SSD WIN10+OHS AY0005AU,6,15.999.000,2021-01-14
Hp Envy x360 13-ay0006AU Ryzen 7 4700 16GB 512ssd Vega7 W10+OHS 13.3,6,18.999.000,2021-01-14
Hp Pavilion X360 14 dh1001TX - i3 10110 8GB 512 VGA 2GB 14FHD Touch,3,9.349.000,2021-01-14
IdeaPad Gaming 3 - i7-10750H/16Gb/512SSD/Win10/GTX1650 (81Y400AUID),1,16.099.000,2021-01-14
"HP Pavilion x360 dh1001TX 14"" FHD Core i3-10110U 8GB 512GB SSD Nvidia MX130 2GB WIN10 dh1033TX",9,9.759.000,2021-01-14
HP Pavilion x360 14-dh1033tx i3-10110U 8 GB 512 GB SSD NVME Win10 GOLD,444,9.999.000,2021-01-14
HP Pavilion X360 Convertible 13-U027TU Ci5 6200U 8GB Touchscreen,5,12.000.000,2021-01-14
"HP Pavilion X360 14-dh1054TX dh1055TX i7-10510 8GB 512GB MX250 14"" W10",245,15.499.000,2021-01-14
HP Pavilion 14 dv0065TX i5 1135G7 8GB 512ssd MX450 2GB W10+OHS 14.0FHD,5,11.999.000,2021-01-14
HP Pavilion 14-dv0065TX dv0066TX i5-1135G7 8GB 512GB MX450 2GB W10 OHS,42,12.499.000,2021-01-14
HP Pavilion 15 dk1064TX GeForce RTX™ 2060 MaxQ i5 10300 8GB 512ssd - No bunding,22,15.449.000,2021-01-14
HP Pavilion 15 dk1141TX GeForce® GTX 1660Ti - 144Hz i7 10750H 8GB - No bundling,21,17.749.000,2021-01-14
HP Pavilion 15-DK1064TX [i5-10300H/8GB/512GB/RTX2060MAXQ-6GB/W10+OHS],10,15.850.000,2021-01-14
HP Pavilion ENVY 13 AN0031WM - i3 8145U 8GB 128GB ssd W10 13.3 FHD,738,7.799.000,2021-01-14
HP Pavilion Gaming 15 - ec1076ax ryzen 7 4800h 16gb 512gb gtx 1660ti 100% sRGB W10,230,16.633.000,2021-01-14
HP Pavilion 14 X360 Touch i5 1035G1 8GB 256ssd W10 14.0FHD Gold,45,10.099.000,2021-01-14
HP Pavilion Gaming 15 DK1064TX I5-10300H 8GB 512GB RTX 2060 6GB 144Hz,35,15.598.000,2021-01-14
"HP Pavilion Gaming 15 Ryzen 7-3750H 16GB 512GB GTX1650 Win10 15,6 FHD",6,12.799.000,2021-01-14
HP Pavilion Gaming 15 dk1141TX i7 10750H 512SSD+32op 8GB GTX1660TI OHS - Non Bundling,30,17.741.000,2021-01-14
HP Pavilion Gaming 15 dk1141TX i7-10750H 144Hz GTX 1660Ti 8GB 512GB+32 - NON BUNDLING,15,17.741.000,2021-01-14
HP Pavilion Gaming 15 ec1076AX GeForce® GTX 1660Ti - Ryzen 7 4800 - No bundling,30,16.549.000,2021-01-14
HP Pavilion Gaming 15 ec1076AX Ryzen 7 4800 16GB 512ssd GTX1660Ti 6GB - Non Bundling,80,16.542.000,2021-01-14
HP Pavilion Gaming 15 ec1076AX Ryzen 7-4800H GTX 1660Ti 16GB 512GB SSD - NON BUNDLING,45,16.542.000,2021-01-14
HP Pavilion Gaming 15-dk0042TX i7 9750H|8GB|1TB+256 SSD|GTX1650 4GB,364,14.899.000,2021-01-14
HP Pavilion Gaming 15-dk0042tx I7-9750H 8GB SSD 256GB + HDD 1000GB NVIDIA GTX1650 4GB,1,12.150.000,2021-01-14
HP Pavilion Gaming 15 Ryzen 7 3750 8GB 512ssd GTX1650 4GB W10 15.6FHD,6,12.299.000,2021-01-14
HP Envy 15 X360 Touch i5 10210 8GB 256ssd+OPT 16GB W10 15.6FHD,16,12.199.000,2021-01-14
HP Envy 15 X360 Touch Ryzen 5 4500U 8GB 512ssd Vega6 Win10 15.6FHD,2,12.699.000,2021-01-14
"HP - ENVY x360 2-in-1 15.6"" Touch-Screen - AMD Ryzen 5 4500 - 8GB - 512GB SSD - Nightfall Black",11,12.699.000,2021-01-14
HP 14s dk1122AU dk1123AU - AMD Athlon Gold 3150 4GB 512ssd W10+OHS 14HD,8,6.899.000,2021-01-14
HP ENVY - 13-ba1030TX i5 1135G7 8GB 512GB-SSD MX450 2GB 13.3-FHD,80,16.899.000,2021-01-14
HP ENVY - 13-ba1031TX i5 1135G7 8GB 512GB-SSD MX450 2GB 13.3-FHD,7,16.899.000,2021-01-14
HP ENVY - 13-ba1033TX i7 1165G7 16GB 512GB-SSD MX450 2GB 13.3-FHD,16,20.699.000,2021-01-14
HP ENVY 13 X360 TOUCH I7-1165G7 8GB 512GB-SSD INTEL IRIS-XE WINDOWS-10,14,16.399.000,2021-01-14
HP ENVY 13 i7 1165G7 - TOUCHSCREEN - INTEL IRIS XE - 8GB RAM - 512gb ssd,42,16.799.000,2021-01-14
"HP ENVY 13 i7-10510U 16GB 1TB SSD MX350-2GB 13.3"" 4K UHD TOUCH WIN10",2,19.695.000,2021-01-14
HP ENVY 13-AD179TU (3PT11PA) Core i5-8250U/8GB/256GB/VGA/Non-TOUCH,8,16.100.000,2021-01-14
HP ENVY 13-AQ0016TX GRAPHIC WINDOWS 10,2,14.999.999,2021-01-14
HP ENVY 13-ba1032TX/ba1033TX i7-1165G7 512GB SSD 16GB MX 450 2GB Win10,64,20.999.000,2021-01-14
HP ENVY 15 - RYZEN 7 4700U - 512GB SSD - 8GB RAM - WINDOWS 10,14,14.799.000,2021-01-14
HP ENVY 15 CP0012 X360 AMD RYZEN 7 2700 8GB 256SSD ATI VEGA 10 FHD W10,12,10.599.000,2021-01-14
"GAMING MSI GF63 9SCXR.838 i5 9300 8GB 256ssd GTX1650 4GB W10 15"" RDT1",3,10.749.000,2021-01-14
Dell Inspiron 5406 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV] DELL OFFICIAL,17,15.999.000,2021-01-14
"Dell Inspiron 5482 Core i3-8145U, 4GB, 1TB, Win 10, Grey",2,8.600.000,2021-01-14
Dell Inspiron 5502 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV] DELL OFFICIAL,49,15.499.000,2021-01-14
Dell Inspiron 5502 i7-1165G7 8GB 512GB MX330 2GB 15'6 FHD W10+OHS2019,8,15.453.000,2021-01-14
Dell Inspiron 5570 ( Core i7-8550U | VGA 4GB |RAM8GB|2TB|WIN10|15.6 ),2,13.250.000,2021-01-14
"Dell Inspiron 5583 - I5 8265U 8GB 256GB SSD ODD MX130 2GB 15.6"" WIN10",7,9.699.000,2021-01-14
Dell Inspiron 7490 [Ci5-10210U-8-256-UMA-W10-SLV] DELL OFFICIAL,44,14.999.000,2021-01-14
Dell Inspiron 7591 [Ci7-9750H-8-256-NVD-W10-SLV] DELL INDONESIA,20,18.499.000,2021-01-14
HP ENVY 15 EE0013DX X360 R5 4500 8GB 256SSD VEGA 8 FHD TOUCH W10 DC,6,12.199.000,2021-01-14
Dell Inspiron M4700M Ci7 3740QM 32GB 256GB SSD Nvidia Quadro FHD,8,10.500.000,2021-01-14
Dell Latitude E5440 |Core i5-Gen 4 |Camera - RAM 4-HDD 500,27,3.300.000,2021-01-14
Dell Latitude E7440 |Core i5-Gen 4 |Camera - RAM 4-HDD 500,30,3.750.000,2021-01-14
Dell Latitude E7450 |Core i7-Gen 5 |Camera - RAM 4-HDD 500,22,5.199.000,2021-01-14
Dell inspiron 3180-A99420-4-500-U-WIN10H-GREY Notebook,2,3.900.000,2021-01-14
Dell inspiron 3443,13,4.800.000,2021-01-14
"Dell inspiron Amd A9 memori 4gb,hardis 500gb Kualitas bagus",2,3.750.000,2021-01-14
Desktop Acer Aspire TC-708 | UX.BC7SD.009,13,7.999.000,2021-01-14
HP Envy 15 X360 Touch Ryzen 7 4700 8GB 512ssd Vega7 W10 15.6FHD,42,15.299.000,2021-01-14
HP ENVY 15 EE0013DX X360 R5 4500 8GB 256SSD VEGA 8 FHD TOUCH WIN10,2,11.990.000,2021-01-14
HP ENVY 15-K228TX Core i7 5500/8GB DDR3/SSD 128GB+HDD 1TB/GTX 850 FHD,4,8.982.000,2021-01-14
HP Envy 13 X360 Touch i7 1165G7 8GB 512ssd W10 13.3FHD GLD,84,16.399.000,2021-01-14
HP Envy 13 X360 Touch i7 1165G7 8GB 512ssd W10 13.3FHD Gold,16,16.399.000,2021-01-14
HP Envy 13 X360 Touch | Ryzen 7 4800 8GB 512ssd Vega7 W10 13.3FHD |,6,15.099.000,2021-01-14
"HP Envy 13 ba1030TX i5 1135G7 8GB 512ssd MX450 2GB W10+OHS 13.3"" Touch",3,17.275.000,2021-01-14
HP Envy 13 ba1033TX 2in1 Touch i7 1165G7 16GB 512ssd MX450 2GB W10+OHS,12,20.399.000,2021-01-14
HP Envy 13 ba1033TX Touch - i7 1165G7 16GB 512ssd MX450 2GB W10+OHS,24,20.999.000,2021-01-14
HP Envy 13 ba1033TX Touch GeForce® MX450 - i7 1165G7 16GB 512ssd,12,20.399.000,2021-01-14
HP Envy 13 ba1033TX Touch i7-1165G7 16GB 512GB MX450 2GB W10 13.3 FHD,4,21.499.000,2021-01-14
HP Envy 13 ba1033TX Touch | i7 1165G7 16GB 512ssd MX450 2GB +OHS 13.3,5,21.074.000,2021-01-14
"HP Envy 13-AQ1015TX Core i5-10210/8GB/512GB SSD/MX250/13"" FHD IPS",12,13.575.000,2021-01-14
"HP Envy 13-BA1033TX 1032TX i7 1165G7 16GB 512GB MX450 13.3"" FHD Touch OHS 2019 Win 10",716,20.499.000,2021-01-14
"HP Envy 13-BA1033TX 1034TX i7-1165G7 16GB 512GB MX450 13.3"" FHD TOUCH",36,20.999.000,2021-01-14
"HP Envy 13-BA1033TX B1034TX i7-1165G7 16GB 512GB MX450 13.3"" FHD TOUCH",5,21.999.000,2021-01-14
"HP Envy 15 X360 Touch Ryzen 5 4500 8GB 256ssd Vega 8 W10 15.6"" FHD",53,11.899.000,2021-01-14
HP Envy 15 X360 Touch Ryzen 5 4500 8GB 256ssd Vega6 W10 15.6FHD BLACK,20,11.899.000,2021-01-14
HP Envy 15 X360 Touch Ryzen 5 4500 8GB 256ssd Vega6 WIN10 15.6FHD,2,11.899.000,2021-01-14
HP Envy 15 X360 Touch Ryzen 5 4500 8GB 512ssd Vega6 W10 15.6 FHD,16,12.699.000,2021-01-14
HP Envy 13 X360 Touch i7 1165G7 8GB 512ssd W10 13.3FHD,28,16.399.000,2021-01-14
HP Envy 13 X360 Touch Ryzen 7 4800 8GB 512ssd Vega7 Win10 13.3FHD,2,15.099.000,2021-01-14
HP Envy 13 X360 Touch Ryzen 7 4800 8GB 512ssd Vega7 W10 13.3FHD,366,15.099.000,2021-01-14
HP Envy 13 X360 Touch Ryzen 7 4700 8GB 512ssd Vega7 W10 13.3 FHD,18,15.099.000,2021-01-14
"HP ENVY 15-ep0016TX i7-10750H 16GB 1TB RTX 2060 Max Q 6GB 15.6"" WIN10",2,29.499.000,2021-01-14
"HP ENVY X360 13-AR0006AU RYZEN 7 4700U 16GB 512GB 13.3"" FHD W10 TOUCH",1,18.749.000,2021-01-14
HP ENVY X360 13-AY005AU Ryzen 5-4500 8GB 512GB NVMe 13.3 FHD Touch,1,15.999.000,2021-01-14
HP ENVY X360 AG0022AU,5,15.000.000,2021-01-14
HP ENVY X360 Convert 13-ag0023AU - AMD RYZEN 7 2700U - 8GB - 512GB SSD,18,15.149.000,2021-01-14
HP ENVY X360 M15-EE0013DX-RYZEN 5-4500U-VGEA 8-8GB-256SSD-FHD TOUC-W10,4,11.899.000,2021-01-14
HP ENVY x360 13 ay0005au Ryzen 5-4500U 8GB 512GB SSD 13.3 FHD TS WIN10,15,15.650.000,2021-01-14
HP ENVY 15 X360 RYZEN 7 4700 16GB 512GB-SSD Vega-7 WIN-10 15.6 TOUCH,23,15.399.000,2021-01-14
"HP ENVY x360 13-AY0006AU (AMD Ryzen 7-4700U,13,3 ,D4 16GB,512 SSD,w10)",16,17.990.000,2021-01-14
HP ENVY x360 15 Touch - Ryzen 5 4500 8GB 256ssd Vega 6 W10 15.6FHD,32,11.899.000,2021-01-14
HP ENVY x360 15 Touch - Ryzen 7 4700U 8GB 512ssd Vega 7 W10 15.6FHD,12,14.799.000,2021-01-14
HP ENVY x360 Conv 13-ay0006AU Ryzen7-4700U Vega 16GB 512SSD FHD TS W10,4,17.600.000,2021-01-14
HP Envy 13 AQ0044 4K UHD Touch i7 8565 16GB 512ssd MX150 2GB W10 13.3,4,15.799.000,2021-01-14
HP Envy 13 AQT1015TX i5,36,13.356.000,2021-01-14
HP Envy 13 Intel i5 1021U 8GB 512ssd MX250 AQ1015TX /AQ1016TX,4,14.999.000,2021-01-14
HP Envy 13 Intel i7 1051U 16GB 512ssd MX250 AQ1017TX /AQ1018TX,16,19.299.000,2021-01-14
HP Envy 13 X360 AMD RYZEN 7 2700U 8GB 256GB SSD Vega 10,90,12.999.000,2021-01-14
"HP ENVY x360 13-ay0006AU Ryzen7-4700U/Vega10/16GB/512GB/13,3FHD/OHS",8,19.999.000,2021-01-14
Dell Inspiron 5402 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV] DELL OFFICIAL,9,15.499.000,2021-01-14
LEGION 5i GTX 1660Ti - 120HZ REFRESH RATE  - 16GB RAM - RGB KEYBOARD - i7 10750H,140,17.799.000,2021-01-14
LENOVO IDEAPAD 3 14IIL INTEL I3 1005G1 8/4GB 512GB SSD INTEL GRAPHICS WIN10HOME + OHS,10,7.820.000,2021-01-14
LENOVO IDEAPAD 330-15IGM with N4000 4GB RAM and 15.6 inch HD LED,1,5.220.201,2021-01-14
"LENOVO IDEAPAD 730S i5-8265U 8GB 256GB WIN10 13,3""FHD ( YOGA S730 )",8,10.399.000,2021-01-14
LENOVO IDEAPAD C340 14IML CORE I7-10510 16GB 1TB SSD MX230 2GB 14'',2,16.199.000,2021-01-14
"LENOVO IDEAPAD FLEX 5 i7-1165G7 16GB 512SSD IRIS XE 14""FHD TOUCH WIN10",2,15.490.000,2021-01-14
"LENOVO IDEAPAD FLEX 5i - I7 1165G7 16GB 512GB IRISH XE 14"" FHD W10 OHS",5,15.999.000,2021-01-14
"LENOVO IDEAPAD FLEX 5i|i7-1165G7|16GB|512GB|IRIS XE|14"" FHD|W10 OHS",4,15.999.000,2021-01-14
LENOVO IDEAPAD GAMING 3 Ryzen 7-4800H 16GB 512SSD GTX1650Ti 4GB W10,3,15.499.000,2021-01-14
LENOVO IDEAPAD GAMING 3i AUID i7-10750H 16GB GTX1650 4GB GDDR6 512 SSD,2,15.149.000,2021-01-14
LENOVO IDEAPAD GAMING 3i i7-10750H 16GB GTX1650 (RESMI),4,16.096.000,2021-01-14
LENOVO IDEAPAD GAMING 3i i7-10750H 16GB GTX1650TI (RESMI),6,17.249.000,2021-01-14
LENOVO IDEAPAD Gaming 3 Ryzen 5 4600H 512GB SSD 16GB GTX1650 120Hz W10,3,14.249.000,2021-01-14
LENOVO IDEAPAD IP330 # i5-8250 VGA 2GB DVD W10 !!,8,7.672.000,2021-01-14
"LENOVO IDEAPAD L340-15API AMD R3 3200U/4GB/256 SSD/15.6""HD/DOS GREY",70,6.399.000,2021-01-14
"LENOVO IDEAPAD SLIM 5i - i5-1135G7 - 8GB - 512SSD - IRIS XE - BACKLIT - 14""FHD IPS - W10 - OFFICE",83,10.999.000,2021-01-14
LENOVO IDEAPAD Slim 3-14IIL05-1035G1-8GB-512GB-MX330-WIN10 Black-AMB2,32,10.505.000,2021-01-14
LENOVO IdeaPad 3 14ADA05,2,5.799.000,2021-01-14
LENOVO IdeaPad 3 14IIL05/i5-1035G1/8GB/512SSD/MX330/WIN10+OHS,1579,10.499.000,2021-01-14
"LENOVO IdeaPad Flex 5 14IIL05 + OHS i3-1115G4 8GB 512GB SSD 14"" FHD WVA Win10 Home",48,10.899.000,2021-01-14
"LENOVO IdeaPad Flex 5 14IIL05-66ID 14"" FHD Touch/Intel Core i5 1035G1/8GB/512GB SSD/win10home+Office",3,12.599.000,2021-01-14
LENOVO IdeaPad Gaming 3 5JID | Ryzen 5 4600H 16GB 512SSD GTX1650 4GB,200,13.500.000,2021-01-14
"LENOVO IdeaPad Gaming 3i - KEID [i7-10750H/16GB/512SSD/GTX1650/15""",2,16.400.000,2021-01-14
LENOVO IdeaPad Gaming 3i AUID i7-10750H 16GB 512GB GTX 1650 Win10 Home + OHS,1,15.849.900,2021-01-14
LENOVO IdeaPad SLIM 3 14IIL PQID I3 1005G1 4GB 512SSD FHD W10+OHS GREY,3,7.777.000,2021-01-14
LENOVO IdeaPad SLIM 3 AMD ATHLON SILVER 3050U 4GB SSD256GB WINDOWS OHS,44,6.700.000,2021-01-14
"LENOVO IdeaPad Slim 3 14ADA05 Ryzen 3 3250U 4GB 256GB 14"" Win10 + OHS",16,7.285.000,2021-01-14
LENOVO IdeaPad Slim 3 14IGL05 CEL N4020 4GB 256GB W10 + OHS,6,5.599.000,2021-01-14
LENOVO IdeaPad Slim 3 AMD ATHLON SILVER 3050U 4GB SSD256GB WINDOWS OHS,12,6.250.000,2021-01-14
LENOVO IdeaPad Slim 3i 14IIL05 i3-1005G1 4GB 512GB Win10 + OHS,112,7.699.000,2021-01-14
LENOVO IdeaPad Slim 3i 14IIL05 i3-1005G1 8GB 512GB Win10 + OHS,2,7.899.000,2021-01-14
"LENOVO IDEAPAD SLIM 3i -I3 - 1005G1/4GB/512GB SSD/14"" FHD IPS/W10+OHS",8,7.899.000,2021-01-14
"LENOVO IDEAPAD SLIM 3i - i3 1005G1 8GB 256GB SSD 14"" FHD UHD WIN10 OHS",43,8.999.000,2021-01-14
LENOVO IDEAPAD SLIM 3i - 14IGL05,5,5.299.000,2021-01-14
"LENOVO IDEAPAD SLIM 3I - i5-1035G1 8GB 512GB MX330 2GB 14"" FHD IPS OHS",396,10.599.000,2021-01-14
"LENOVO IDEAPAD SLIM 3 + OHS (AMD 3020e Win10  256GB SSD 14"" HD TN )WIN 10",20,5.475.000,2021-01-14
"LENOVO IDEAPAD SLIM 3 - AMD RYZEN 3-4300U SSD 512GB RAM 8GB 14""FHD W10",179,8.499.000,2021-01-14
LENOVO IDEAPAD SLIM 3 - AMD RYZEN 5 - 8GB - SSD 256GB - BLUE,3,8.485.000,2021-01-14
LENOVO IDEAPAD SLIM 3 - I3-1005G1 SSD 512GB MX330-2GB 15.6 FHD OHS2019,2,8.685.000,2021-01-14
"LENOVO IDEAPAD SLIM 3 - INTEL N4020 - 4GB - 256 GB SSD - 14""- WIN10 - OFFICE HOME STUDENT",45,5.699.000,2021-01-14
"LENOVO IDEAPAD SLIM 3 - i5-1035G1 8GB 512GB SSD MX330 2GB 14""FHD WIN10",207,9.949.000,2021-01-14
LENOVO IDEAPAD SLIM 3 14ADA05 AMD 3020e 4GB 256GB W10+OHS ABYSS BLUE,3,5.499.000,2021-01-14
"LENOVO IDEAPAD SLIM 3 14ADA05 AMD Ryzen 3-3250U 4GB 256GB 14"" FHD W10+OHS",25,7.499.000,2021-01-14
"LENOVO IDEAPAD L340-15API AMD R3 3200U/8GB/256SSD/15.6""HD/DOS/DVDRW",708,6.599.000,2021-01-14
"LENOVO IDEAPAD SLIM 3 14IIL05 i3-1005G1 4GB 256GB 14"" FHD UHD W10 OHS",4,7.349.000,2021-01-14
LENOVO IDEAPAD SLIM 3 INTEL i5 1035G1 8GB SSD512GB NVIDIA MX330 2GB WINDOWS10 OFFICE ORIGINAL,153,10.290.000,2021-01-14
LENOVO IDEAPAD SLIM 3 RYZEN 3 4300 8GB 512SSD VEGA3 WIN10+OHS 19,7,8.080.000,2021-01-14
LENOVO IDEAPAD SLIM 3 RYZEN 3-4300 8GB 512GB 14INCH FHD IPS WIN10+OFFICE HOME STUDENT,21,8.899.000,2021-01-14
LENOVO IDEAPAD SLIM 3-14IGL - INTEL N4020 4GB 256GB/512GB WIN10 + OHS,7,5.355.000,2021-01-14
LENOVO IDEAPAD SLIM 3-14IIL-1035G1-8GB-512GB-MX330-WIN10 ABYSS BLUE + OHS,16,10.560.000,2021-01-14
LENOVO IDEAPAD SLIM 3-14IIL-1035G1-8GB-512GB-MX330-WIN10 PLATINUM GREY,15,10.505.000,2021-01-14
LENOVO IDEAPAD SLIM 3 AMD 3020E 4GB 256GB 14INCH WIN10+OHS,33,5.859.000,2021-01-14
Dell Inspiron 5402 [Ci7-1165G7-8-512-NVD-W10-OHS-SLV],40,15.299.000,2021-01-14
Dell Inspiron 5301 [Ci7-1165G7-8-512-NVD-W10-OHS-FP-SLV] DELL OFFICIAL,28,16.499.000,2021-01-14
Dell Inspiron 5301 [Ci5-1135G7-8-512-NVD-W10-OHS-FP-SLV] DELL OFFICIAL,39,14.999.000,2021-01-14
Asus ROG STRIX G512LI-I565B6T /i5-10300H/8GB/512GB/VGA/15.6/W10/BLK/2Y,1,14.599.000,2021-01-14
Asus ROG STRIX G512LI-I565BT/Core i5-10300H/8GB/512GB/GTX1650Ti/144Hz,12,14.099.000,2021-01-14
Asus ROG STRIX G531GD-I705G6T- i7-9750H- GTX1050-4GB- 8GB- 1TB-,48,15.050.025,2021-01-14
Asus ROG STRIX-G G512LI-I75TB7T I7-10750H 16GB 512GB GTX1650Ti 4GB W10,3,18.499.000,2021-01-14
Asus ROG Strix G - G512LU-I766B6P - i7-10750H-8G-512 SSD-GTX1660Ti 6GB,4,19.799.000,2021-01-14
Asus ROG Strix G G512LI-I75TB6T i7|8GB|512GB SSD|VGA 4GB|15.6″|Win10,252,15.999.000,2021-01-14
"Asus ROG Strix G G531GT I765G1T i7 9750H 8GB 512ssd GTX1650 4GB 15""FHD",3,16.570.000,2021-01-14
Asus ROG Strix G15 - Intel Core i7 - 16GB - NVIDIA GeForce RTX 2060 - 512GB SSD - 15.6 240Hz - Black,9,21.299.000,2021-01-14
Asus ROG Strix Scar III GL531GW 120Hz i7-9750H 16GB 512ssd RTX2070 8GB,20,23.599.000,2021-01-14
Asus ROG Super Gaming G531GT i5 GDDR5X 1650 FHD IPS,12,14.850.000,2021-01-14
Asus ROG Zephyrus G14 GA401IH Ryzen 7 4800 16GB 1TBssd GTX1650 4GB W10,120,18.299.000,2021-01-14
